case,case_id,found_by_crawl,scraped_rows,docs_with_link,docs_on_gcs,confirmations_with_link,confirmations_on_gcs,not_on_gcs_examples
case_23776,CV-718201-26/KI,4,4,4,4,0,0,
case_23777,CV-718202-26/KI,6,6,6,6,0,0,
case_23778,CV-718203-26/KI,2,2,2,2,0,0,
case_23779,CV-718204-26/KI,3,3,3,3,0,0,
case_23780,CV-718205-26/KI,3,3,3,3,0,0,
case_23781,CV-718206-26/KI,2,2,2,2,0,0,
case_23782,CV-718207-26/KI,5,5,5,5,0,0,
case_23783,CV-718208-26/KI,2,2,2,2,0,0,
case_23784,Not Assigned,2,2,2,2,0,0,
case_23785,Not Assigned,1,1,1,1,0,0,
case_23786,Not Assigned,1,1,1,1,0,0,
case_23787,Not Assigned,1,1,1,1,0,0,
case_23788,Not Assigned,1,1,1,1,0,0,
case_23821,CV-046917-11/QU,1,1,1,1,0,0,
case_23822,CV-050985-11/QU,1,1,1,1,0,0,
case_23823,CV-055523-11/QU,1,1,1,1,0,0,
case_23824,CV-066361-10/QU,1,1,1,1,0,0,
case_23825,CV-066372-10/QU,1,1,1,1,0,0,
case_23826,CV-701259-26/BX,4,4,4,4,0,0,
case_23827,CV-701263-26/BX,3,3,3,3,0,0,
case_23828,CV-701266-26/BX,3,3,3,3,0,0,
case_23829,CV-701267-26/BX,3,3,3,3,0,0,
case_23830,CV-701268-26/BX,4,4,4,4,0,0,
case_23831,CV-701272-26/BX,4,4,4,4,0,0,
case_23832,CV-701274-26/BX,4,4,4,4,0,0,
case_23833,CV-701276-26/BX,5,5,5,5,0,0,
case_23834,CV-701839-26/BX,2,2,2,2,0,0,
case_23835,CV-701843-26/BX,6,6,6,6,0,0,
case_23836,CV-701892-26/BX,4,4,4,4,0,0,
case_23837,CV-701899-26/BX,3,3,3,3,0,0,
case_23838,CV-701910-26/BX,4,4,4,4,0,0,
case_23839,CV-701946-26/BX,6,6,6,6,0,0,
case_23840,CV-702238-26/BX,3,3,3,3,0,0,
case_23841,CV-703041-19/QU,1,1,1,1,0,0,
case_23842,CV-703043-19/QU,1,1,1,1,0,0,
case_23843,CV-703497-26/NY,4,4,4,4,0,0,
case_23844,CV-704395-25/BX,6,6,6,6,0,0,
case_23845,CV-704396-25/BX,6,6,6,6,0,0,
case_23846,CV-704566-22/QU,8,8,8,8,0,0,
case_23847,CV-704784-26/BX,2,2,2,2,0,0,
case_23848,CV-705555-26/NY,3,3,3,3,0,0,
case_23849,CV-705556-26/NY,5,5,5,5,0,0,
case_23850,CV-706592-15/QU,1,1,1,1,0,0,
case_23851,CV-706795-15/QU,1,1,1,1,0,0,
case_23852,CV-706805-26/BX,2,2,2,2,0,0,
case_23853,CV-706806-26/BX,6,6,6,6,0,0,
case_23854,CV-706834-15/QU,1,1,1,1,0,0,
case_23855,CV-706835-15/QU,1,1,1,1,0,0,
case_23856,CV-706872-26/BX,2,2,2,2,0,0,
case_23857,CV-707190-25/BX,5,5,5,5,0,0,
case_23858,CV-707295-26/NY,5,5,5,5,0,0,
case_23859,CV-707297-26/NY,3,3,3,3,0,0,
case_23860,CV-707305-16/QU,1,1,1,1,0,0,
case_23861,CV-707426-25/BX,8,8,8,8,0,0,
case_23862,CV-707494-25/BX,3,3,3,3,0,0,
case_23863,CV-707528-26/BX,4,4,4,4,0,0,
case_23864,CV-707766-17/QU,1,1,1,1,0,0,
case_23865,CV-707873-25/BX,3,3,3,3,0,0,
case_23866,CV-707874-25/BX,3,3,3,3,0,0,
case_23867,CV-709791-26/BX,6,6,6,6,0,0,
case_23868,CV-710249-25/BX,3,3,3,3,0,0,
case_23869,CV-711057-26/BX,4,4,4,4,0,0,
case_23870,CV-711107-26/BX,5,5,5,5,0,0,
case_23871,CV-711108-26/BX,4,4,4,4,0,0,
case_23872,CV-711455-25/BX,6,6,6,6,0,0,
case_23873,CV-711532-17/QU,3,3,3,3,0,0,
case_23874,CV-711582-25/BX,3,3,3,3,0,0,
case_23875,CV-712337-25/BX,3,3,3,3,0,0,
case_23876,CV-712338-25/BX,4,4,4,4,0,0,
case_23877,CV-712391-25/BX,3,3,3,3,0,0,
case_23878,CV-712392-25/BX,4,4,4,4,0,0,
case_23879,CV-712393-25/BX,3,3,3,3,0,0,
case_23880,CV-712394-25/BX,4,4,4,4,0,0,
case_23881,CV-712402-25/BX,3,3,3,3,0,0,
case_23882,CV-712403-25/BX,6,6,6,6,0,0,
case_23883,CV-712405-25/BX,3,3,3,3,0,0,
case_23884,CV-712411-25/BX,6,6,6,6,0,0,
case_23885,CV-712569-25/BX,3,3,3,3,0,0,
case_23886,CV-712975-25/BX,3,3,3,3,0,0,
case_23887,CV-713019-25/BX,3,3,3,3,0,0,
case_23888,CV-713021-25/BX,3,3,3,3,0,0,
case_23889,CV-713022-25/BX,3,3,3,3,0,0,
case_23890,CV-713216-25/BX,3,3,3,3,0,0,
case_23891,CV-713501-21/QU,3,3,3,3,0,0,
case_23892,CV-714265-25/BX,4,4,4,4,0,0,
case_23893,CV-714811-25/BX,3,3,3,3,0,0,
case_23894,CV-714823-24/BX,3,3,3,3,0,0,
case_23895,CV-714832-24/BX,3,3,3,3,0,0,
case_23896,CV-715556-25/BX,2,2,2,2,0,0,
case_23897,CV-715557-25/BX,6,6,6,6,0,0,
case_23898,CV-715584-25/BX,5,5,5,5,0,0,
case_23899,CV-715737-26/KI,4,4,4,4,0,0,
case_23900,CV-715740-26/KI,5,5,5,5,0,0,
case_23901,CV-715769-26/KI,6,6,6,6,0,0,
case_23902,CV-716387-25/BX,6,6,6,6,0,0,
case_23903,CV-716932-25/BX,6,6,6,6,0,0,
case_23904,CV-716937-25/BX,3,3,3,3,0,0,
case_23905,CV-716938-25/BX,6,6,6,6,0,0,
case_23906,CV-716946-25/BX,2,2,2,2,0,0,
case_23907,CV-717396-25/BX,3,3,3,3,0,0,
case_23908,CV-717886-26/KI,3,3,3,3,0,0,
case_23909,CV-717923-24/BX,3,3,3,3,1,1,
case_23910,CV-717925-24/BX,3,3,3,3,2,2,
case_23911,CV-718843-26/KI,4,4,4,4,3,3,
case_23912,CV-718846-26/KI,2,2,2,2,1,1,
case_23913,CV-719499-25/BX,5,5,5,5,1,1,
case_23914,CV-719671-25/BX,7,7,7,7,6,6,
case_23924,CV-725148-26/KI,3,3,3,3,2,2,
case_23925,CV-725155-26/KI,3,3,3,3,0,0,
case_23926,CV-725163-26/KI,3,3,3,3,0,0,
case_23927,CV-725164-26/KI,4,4,4,4,0,0,
case_23928,CV-730284-26/KI,2,2,2,2,0,0,
case_23929,CV-732663-12/QU,1,1,1,1,0,0,
case_23930,CV-733340-26/KI,2,2,2,2,1,1,
case_23931,CV-735838-25/KI,4,4,4,4,2,2,
case_23933,CV-745593-25/KI,6,6,6,6,5,5,
case_23942,CV-759748-25/KI,16,16,16,16,4,4,
case_23943,CV-759766-25/KI,5,5,5,5,0,0,
case_23944,CV-760500-25/KI,5,5,5,5,3,3,
case_23945,CV-760660-25/KI,5,5,5,5,1,1,
case_23946,CV-760663-25/KI,17,17,17,17,3,3,
case_23947,CV-761000-25/KI,4,4,4,4,2,2,
case_23948,CV-761106-25/KI,3,3,3,3,1,1,
case_23949,CV-762541-25/KI,2,2,2,2,1,1,
case_23950,CV-762577-25/KI,12,12,12,12,8,8,
case_23953,CV-763186-25/KI,17,17,17,17,12,12,
case_23954,CV-763342-25/KI,3,3,3,3,0,0,
case_23955,CV-765040-25/KI,7,7,7,7,0,0,
case_23956,CV-766028-25/KI,3,3,3,3,0,0,
case_23957,CV-767465-25/KI,5,5,5,5,0,0,
case_23958,CV-770694-25/KI,6,6,6,6,0,0,
case_23959,CV-771116-25/KI,3,3,3,3,0,0,
case_23960,CV-771315-25/KI,5,5,5,5,0,0,
case_23961,CV-772765-24/KI,5,5,5,5,0,0,
case_23979,CV-703192-21/KI,1,1,1,1,0,0,
case_23980,CV-710249-21/KI,1,1,1,1,0,0,
case_23981,CV-710436-21/KI,2,2,2,2,0,0,
case_23982,CV-725709-21/KI,2,2,2,2,0,0,
case_23983,CV-725750-21/KI,1,1,1,1,0,0,
case_23984,CV-725751-21/KI,1,1,1,1,0,0,
case_23985,CV-725784-21/KI,3,3,3,3,0,0,
case_23986,CV-725860-21/KI,1,1,1,1,0,0,
case_23989,LT-307236-26/BX,8,8,8,8,0,0,
case_24076,LT-310334-25/NY,11,11,11,11,0,0,
case_24077,LT-334118-25/KI,6,6,6,6,0,0,
case_24141,LT-323330-22/KI,12,12,12,12,0,0,
case_24142,LT-323334-22/KI,12,12,12,12,1,1,
case_24143,LT-323337-22/KI,12,12,12,12,9,9,
case_24270,LT-053331-20/NY,5,5,5,5,4,4,
case_24271,LT-301142-24/NY,14,14,14,14,3,3,
case_24272,LT-308754-23/NY,7,7,7,7,0,0,
case_24273,LT-311670-25/NY,23,23,23,23,0,0,
case_24274,LT-317954-22/NY,14,14,14,14,3,3,
case_24275,LT-320020-23/NY,6,6,6,6,5,5,
case_24506,LT-300867-25/KI,3,3,3,3,0,0,
case_24507,LT-306476-22/NY,8,8,8,8,0,0,
case_24508,LT-317385-24/BX,12,12,12,12,0,0,
case_24616,250649/2014,1,1,0,0,0,0,
case_25006,CV-000132-26/SM,2,2,2,2,0,0,
case_25007,CV-000140-26/SM,2,2,2,2,0,0,
case_25008,CV-000378-26/SM,2,2,2,2,0,0,
case_25009,CV-000379-26/SM,2,2,2,2,0,0,
case_25010,CV-001243-26/SM,2,2,2,2,0,0,
case_25011,CV-001295-26/SM,2,2,2,2,0,0,
case_25012,CV-001296-26/SM,2,2,2,2,0,0,
case_25013,CV-002201-25/SM,2,2,2,2,0,0,
case_25014,CV-002883-26/SM,2,2,2,2,0,0,
case_25015,CV-002884-26/SM,2,2,2,2,0,0,
case_25016,CV-002885-26/SM,2,2,2,2,0,0,
case_25017,CV-003134-26/SM,2,2,2,2,0,0,
case_25018,CV-003135-26/SM,2,2,2,2,0,0,
case_25019,CV-003136-26/SM,2,2,2,2,0,0,
case_25020,CV-003137-26/SM,4,4,4,4,0,0,
case_25021,CV-003407-26/SM,2,2,2,2,0,0,
case_25022,CV-003651-26/SM,2,2,2,2,0,0,
case_25023,CV-003652-26/SM,2,2,2,2,0,0,
case_25024,CV-003653-26/SM,2,2,2,2,0,0,
case_25025,CV-003928-25/SM,2,2,2,2,1,1,
case_25026,CV-003929-25/SM,2,2,2,2,0,0,
case_25027,CV-003931-25/SM,2,2,2,2,0,0,
case_25028,CV-003977-25/SM,2,2,2,2,0,0,
case_25029,CV-004059-25/SM,2,2,2,2,0,0,
case_25030,CV-005053-25/SM,2,2,2,2,0,0,
case_25031,CV-005872-26/SM,2,2,2,2,0,0,
case_25032,CV-005947-26/SM,2,2,2,2,0,0,
case_25033,CV-005948-26/SM,3,3,3,3,0,0,
case_25034,CV-005949-26/SM,2,2,2,2,0,0,
case_25035,CV-005950-26/SM,2,2,2,2,0,0,
case_25036,CV-006043-26/SM,2,2,2,2,0,0,
case_25037,CV-006044-26/SM,2,2,2,2,0,0,
case_25038,CV-006446-26/SM,2,2,2,2,0,0,
case_25039,CV-006500-26/SM,2,2,2,2,0,0,
case_25040,CV-006501-26/SM,2,2,2,2,0,0,
case_25041,CV-006656-25/SM,2,2,2,2,0,0,
case_25042,CV-006657-25/SM,2,2,2,2,0,0,
case_25043,CV-006658-25/SM,2,2,2,2,0,0,
case_25044,CV-006659-25/SM,2,2,2,2,0,0,
case_25045,CV-006660-25/SM,2,2,2,2,0,0,
case_25046,CV-026736-09/KI,1,1,1,1,0,0,
case_25047,CV-031519-09/KI,1,1,1,1,0,0,
case_25048,CV-031520-09/KI,1,1,1,1,0,0,
case_25049,CV-043023-15/KI,1,1,1,1,0,0,
case_25050,CV-043038-15/KI,1,1,1,1,0,0,
case_25051,CV-059342-15/KI,1,1,1,1,0,0,
case_25052,CV-059852-15/KI,1,1,1,1,0,0,
case_25053,CV-064244-15/KI,1,1,1,1,0,0,
case_25054,CV-065455-07/KI,1,1,1,1,0,0,
case_25055,CV-099962-10/BX,1,1,1,1,0,0,
case_25056,CV-108737-09/QU,1,1,1,1,0,0,
case_25057,CV-130819-10/QU,1,1,1,1,0,0,
case_25058,CV-167828-07/QU,1,1,1,1,0,0,
case_25059,CV-167829-07/QU,1,1,1,1,0,0,
case_25060,CV-167830-07/QU,1,1,1,1,0,0,
case_25061,CV-167831-07/QU,1,1,1,1,0,0,
case_25064,CV-701469-19/QU,3,3,3,3,0,0,
case_25065,CV-701470-19/QU,1,1,1,1,0,0,
case_25066,CV-701580-16/KI,1,1,1,1,0,0,
case_25067,CV-701588-16/KI,1,1,1,1,0,0,
case_25068,CV-701891-26/RI,20,20,20,20,0,0,
case_25069,CV-702170-17/KI,1,1,1,1,0,0,
case_25070,CV-702739-18/KI,2,2,2,2,0,0,
case_25071,CV-702740-18/KI,2,2,2,2,0,0,
case_25072,CV-703896-16/BX,1,1,1,1,0,0,
case_25073,CV-704267-16/KI,1,1,1,1,0,0,
case_25074,CV-704271-16/KI,1,1,1,1,0,0,
case_25075,CV-704326-23/KI,4,4,4,4,0,0,
case_25076,CV-704327-23/KI,4,4,4,4,0,0,
case_25077,CV-704329-23/KI,4,4,4,4,0,0,
case_25078,CV-704330-23/KI,4,4,4,4,0,0,
case_25079,CV-704331-23/KI,4,4,4,4,0,0,
case_25080,CV-704334-23/KI,5,5,5,5,0,0,
case_25081,CV-704335-23/KI,4,4,4,4,0,0,
case_25082,CV-704343-23/KI,4,4,4,4,0,0,
case_25083,CV-704344-23/KI,4,4,4,4,0,0,
case_25084,CV-704454-23/KI,4,4,4,4,0,0,
case_25085,CV-704455-23/KI,4,4,4,4,0,0,
case_25086,CV-704458-23/KI,5,5,5,5,0,0,
case_25087,CV-704464-23/KI,4,4,4,4,0,0,
case_25088,CV-705949-23/KI,5,5,5,5,0,0,
case_25089,CV-705952-23/KI,5,5,5,5,0,0,
case_25090,CV-705953-23/KI,5,5,5,5,0,0,
case_25091,CV-705957-23/KI,5,5,5,5,0,0,
case_25092,CV-706000-21/KI,1,1,1,1,0,0,
case_25093,CV-706002-21/KI,2,2,2,2,0,0,
case_25094,CV-706018-15/RI,1,1,1,1,0,0,
case_25095,CV-706029-21/KI,1,1,1,1,0,0,
case_25096,CV-706037-21/KI,2,2,2,2,0,0,
case_25097,CV-706047-21/KI,4,4,4,4,0,0,
case_25098,CV-706048-21/KI,14,14,14,14,0,0,
case_25099,CV-706310-21/KI,1,1,1,1,0,0,
case_25100,CV-707658-17/KI,1,1,1,1,0,0,
case_25101,CV-707659-17/KI,1,1,1,1,0,0,
case_25102,CV-709495-16/BX,1,1,1,1,0,0,
case_25103,CV-709602-18/QU,1,1,1,1,0,0,
case_25104,CV-709711-16/KI,1,1,1,1,0,0,
case_25105,CV-709712-16/KI,1,1,1,1,0,0,
case_25106,CV-711960-21/QU,2,2,2,2,0,0,
case_25107,CV-712712-23/RI,5,5,5,5,0,0,
case_25108,CV-712713-23/RI,2,2,2,2,0,0,
case_25109,CV-712716-23/RI,11,11,11,11,0,0,
case_25110,CV-712717-23/RI,15,15,15,15,0,0,
case_25111,CV-712718-23/RI,19,19,19,19,0,0,
case_25112,CV-712719-23/RI,2,2,2,2,0,0,
case_25113,CV-712720-23/RI,6,6,6,6,0,0,
case_25114,CV-712721-23/RI,6,6,6,6,0,0,
case_25115,CV-712722-23/RI,15,15,15,15,0,0,
case_25116,CV-712723-23/RI,17,17,17,17,0,0,
case_25117,CV-712724-23/RI,3,3,3,3,0,0,
case_25118,CV-712725-23/RI,3,3,3,3,0,0,
case_25119,CV-712726-23/RI,6,6,6,6,0,0,
case_25120,CV-712727-23/RI,5,5,5,5,0,0,
case_25121,CV-712728-23/RI,32,32,32,32,0,0,
case_25122,CV-712729-23/RI,2,2,2,2,0,0,
case_25123,CV-712730-23/RI,7,7,7,7,0,0,
case_25124,CV-712731-23/RI,4,4,4,4,0,0,
case_25125,CV-712732-23/RI,17,17,17,17,0,0,
case_25126,CV-712733-23/RI,8,8,8,8,0,0,
case_25127,CV-712734-23/RI,10,10,10,10,0,0,
case_25128,CV-712735-23/RI,18,18,18,18,0,0,
case_25129,CV-712736-23/RI,6,6,6,6,0,0,
case_25130,CV-712737-23/RI,4,4,4,4,0,0,
case_25131,CV-712738-23/RI,7,7,7,7,0,0,
case_25132,CV-712739-23/RI,6,6,6,6,0,0,
case_25133,CV-712740-23/RI,6,6,6,6,0,0,
case_25134,CV-712741-23/RI,5,5,5,5,0,0,
case_25135,CV-712809-23/RI,15,15,15,15,0,0,
case_25136,CV-712810-23/RI,5,5,5,5,0,0,
case_25137,CV-712811-23/RI,5,5,5,5,0,0,
case_25138,CV-712812-23/RI,8,8,8,8,0,0,
case_25139,CV-712813-23/RI,17,17,17,17,0,0,
case_25140,CV-712814-23/RI,8,8,8,8,0,0,
case_25141,CV-712815-23/RI,15,15,15,15,0,0,
case_25142,CV-712816-23/RI,7,7,7,7,0,0,
case_25143,CV-712817-23/RI,18,18,18,18,0,0,
case_25144,CV-712818-23/RI,19,19,19,19,0,0,
case_25145,CV-712819-23/RI,5,5,5,5,0,0,
case_25146,CV-712820-23/RI,5,5,5,5,0,0,
case_25147,CV-712821-23/RI,6,6,6,6,0,0,
case_25148,CV-712822-23/RI,6,6,6,6,0,0,
case_25149,CV-712823-23/RI,5,5,5,5,0,0,
case_25150,CV-712824-23/RI,8,8,8,8,0,0,
case_25151,CV-712825-23/RI,2,2,2,2,0,0,
case_25152,CV-712826-23/RI,7,7,7,7,0,0,
case_25153,CV-712827-23/RI,7,7,7,7,0,0,
case_25154,CV-712828-23/RI,2,2,2,2,0,0,
case_25155,CV-712829-23/RI,9,9,9,9,0,0,
case_25156,CV-712830-23/RI,5,5,5,5,0,0,
case_25157,CV-712982-23/RI,5,5,5,5,0,0,
case_25158,CV-712983-23/RI,15,15,15,15,0,0,
case_25159,CV-712984-23/RI,24,24,24,24,0,0,
case_25160,CV-712985-23/RI,8,8,8,8,0,0,
case_25161,CV-712986-23/RI,15,15,15,15,0,0,
case_25162,CV-712987-23/RI,9,9,9,9,0,0,
case_25163,CV-712988-23/RI,15,15,15,15,0,0,
case_25164,CV-712989-23/RI,5,5,5,5,0,0,
case_25165,CV-712990-23/RI,5,5,5,5,0,0,
case_25166,CV-712991-23/RI,20,20,20,20,0,0,
case_25167,CV-712992-23/RI,2,2,2,2,0,0,
case_25168,CV-712993-23/RI,2,2,2,2,0,0,
case_25169,CV-712994-23/RI,2,2,2,2,0,0,
case_25170,CV-712995-23/RI,5,5,5,5,0,0,
case_25171,CV-712996-23/RI,5,5,5,5,0,0,
case_25172,CV-712997-23/RI,5,5,5,5,0,0,
case_25173,CV-712998-23/RI,2,2,2,2,0,0,
case_25174,CV-712999-23/RI,2,2,2,2,0,0,
case_25175,CV-713000-23/RI,5,5,5,5,0,0,
case_25176,CV-713001-23/RI,7,7,7,7,0,0,
case_25177,CV-713002-23/RI,5,5,5,5,0,0,
case_25178,CV-713446-20/KI,1,1,1,1,0,0,
case_25179,CV-713476-20/KI,1,1,1,1,0,0,
case_25180,CV-713477-20/KI,1,1,1,1,0,0,
case_25181,CV-713478-20/KI,4,4,4,4,0,0,
case_25182,CV-713498-20/KI,11,11,11,11,0,0,
case_25183,CV-714158-16/KI,1,1,1,1,0,0,
case_25184,CV-714159-16/KI,1,1,1,1,0,0,
case_25185,CV-716308-20/KI,5,5,5,5,0,0,
case_25186,CV-716309-20/KI,2,2,2,2,0,0,
case_25187,CV-716310-20/KI,3,3,3,3,0,0,
case_25188,CV-716311-20/KI,1,1,1,1,0,0,
case_25189,CV-716324-20/KI,1,1,1,1,0,0,
case_25190,CV-717312-22/RI,19,19,19,19,0,0,
case_25191,CV-717313-22/RI,2,2,2,2,0,0,
case_25192,CV-717314-22/RI,8,8,8,8,5,5,
case_25193,CV-717319-22/RI,21,21,21,21,20,20,
case_25194,CV-717320-22/RI,31,31,31,31,7,7,
case_25195,CV-717511-21/KI,3,3,3,3,0,0,
case_25196,CV-717512-21/KI,2,2,2,2,0,0,
case_25197,CV-719432-20/KI,1,1,1,1,0,0,
case_25198,CV-719775-19/KI,4,4,4,4,0,0,
case_25199,CV-719779-19/KI,4,4,4,4,0,0,
case_25200,CV-719782-19/KI,2,2,2,2,0,0,
case_25201,CV-719788-19/KI,1,1,1,1,0,0,
case_25202,CV-719789-19/KI,1,1,1,1,0,0,
case_25203,CV-723010-18/KI,1,1,1,1,0,0,
case_25204,CV-723012-18/KI,1,1,1,1,0,0,
case_25205,CV-723013-18/KI,3,3,3,3,0,0,
case_25206,CV-723014-18/KI,1,1,1,1,0,0,
case_25207,CV-725642-19/KI,2,2,2,2,0,0,
case_25208,CV-725643-19/KI,1,1,1,1,0,0,
case_25209,CV-725645-19/KI,1,1,1,1,0,0,
case_25210,CV-725655-19/KI,1,1,1,1,0,0,
case_25211,CV-725656-19/KI,1,1,1,1,0,0,
case_25212,CV-727202-16/KI,1,1,1,1,0,0,
case_25213,CV-731084-22/KI,2,2,2,2,0,0,
case_25214,CV-731089-22/KI,4,4,4,4,0,0,
case_25215,CV-735910-21/KI,2,2,2,2,0,0,
case_25216,CV-735912-21/KI,2,2,2,2,0,0,
case_25217,CV-735929-21/KI,2,2,2,2,0,0,
case_25218,CV-735930-21/KI,2,2,2,2,0,0,
case_25219,CV-736359-17/KI,1,1,1,1,0,0,
case_25220,CV-736378-17/KI,1,1,1,1,0,0,
case_25221,CV-736813-22/KI,2,2,2,2,0,0,
case_25222,CV-741360-21/KI,5,5,5,5,0,0,
case_25223,CV-743449-20/KI,1,1,1,1,0,0,
case_25224,CV-743487-20/KI,1,1,1,1,0,0,
case_25225,CV-743496-20/KI,1,1,1,1,0,0,
case_25226,CV-743719-18/KI,1,1,1,1,0,0,
case_25227,CV-744358-26/RI,4,4,4,4,0,0,
case_25228,CV-745366-16/KI,1,1,1,1,0,0,
case_25229,CV-745367-16/KI,1,1,1,1,0,0,
case_25230,CV-750784-26/RI,4,4,4,4,0,0,
case_25231,CV-750785-26/RI,2,2,2,2,0,0,
case_25232,CV-750786-26/RI,4,4,4,4,0,0,
case_25233,CV-750787-26/RI,4,4,4,4,0,0,
case_25234,CV-750788-26/RI,4,4,4,4,0,0,
case_25235,CV-750789-26/RI,4,4,4,4,0,0,
case_25236,CV-750790-26/RI,4,4,4,4,0,0,
case_25237,CV-750972-26/RI,2,2,2,2,0,0,
case_25238,CV-750973-26/RI,2,2,2,2,0,0,
case_25239,CV-750974-26/RI,2,2,2,2,0,0,
case_25240,CV-750975-26/RI,1,1,1,1,0,0,
case_25241,CV-751315-19/KI,1,1,1,1,0,0,
case_25242,CV-751391-19/KI,1,1,1,1,0,0,
case_25243,CV-751393-19/KI,1,1,1,1,0,0,
case_25244,CV-751395-19/KI,1,1,1,1,0,0,
case_25245,CV-751398-19/KI,1,1,1,1,0,0,
case_25246,CV-751402-19/KI,1,1,1,1,0,0,
case_25247,CV-751468-19/KI,1,1,1,1,0,0,
case_25248,CV-751478-19/KI,1,1,1,1,0,0,
case_25249,CV-751498-19/KI,1,1,1,1,0,0,
case_25250,CV-751503-19/KI,1,1,1,1,0,0,
case_25251,CV-751504-19/KI,1,1,1,1,0,0,
case_25252,CV-751521-19/KI,1,1,1,1,0,0,
case_25253,CV-751522-19/KI,1,1,1,1,0,0,
case_25254,CV-754769-19/KI,1,1,1,1,0,0,
case_25255,CV-757496-26/RI,3,3,3,3,0,0,
case_25256,CV-797994-25/RI,2,2,2,2,0,0,
case_25302,LT-300129-20/QU,16,16,16,16,15,15,
case_25303,LT-302467-22/QU,15,15,15,15,0,0,
case_25304,LT-306467-25/NY,7,7,7,7,0,0,
case_25305,LT-316113-22/NY,9,9,9,9,0,0,
case_25306,LT-316552-23/QU,9,9,9,9,0,0,
case_25307,LT-317441-23/KI,9,9,9,9,0,0,
case_25308,LT-320066-22/NY,18,18,18,18,0,0,
case_25309,LT-331097-25/BX,13,13,13,13,0,0,
case_25374,LT-302246-24/QU,10,10,10,10,0,0,
case_25375,LT-302274-24/QU,7,7,7,7,0,0,
case_25376,LT-302713-24/QU,15,15,15,15,0,0,
case_25504,Not Assigned,6,6,6,6,0,0,
case_25505,Not Assigned,3,3,3,3,0,0,
case_25506,Not Assigned,4,4,4,4,0,0,
case_25507,Not Assigned,3,3,3,3,0,0,
case_25508,Not Assigned,3,3,3,3,0,0,
case_25509,Not Assigned,3,3,3,3,0,0,
case_25510,Not Assigned,3,3,3,3,0,0,
case_25511,Not Assigned,4,4,4,4,0,0,
case_25512,Not Assigned,4,4,4,4,0,0,
case_25513,Not Assigned,4,4,4,4,0,0,
case_25518,Not Assigned,3,3,3,3,0,0,
case_25519,Not Assigned,3,3,3,3,0,0,
case_25520,Not Assigned,3,3,3,3,0,0,
case_25525,Not Assigned,3,3,3,3,0,0,
case_25526,Not Assigned,3,3,3,3,0,0,
case_25527,Not Assigned,3,3,3,3,0,0,
case_25528,Not Assigned,4,4,4,4,0,0,
case_25529,Not Assigned,3,3,3,3,0,0,
case_25530,Not Assigned,3,3,3,3,0,0,
case_25531,Not Assigned,3,3,3,3,0,0,
case_25532,Not Assigned,3,3,3,3,0,0,
case_25533,Not Assigned,3,3,3,3,0,0,
case_25534,Not Assigned,3,3,3,3,0,0,
case_25535,Not Assigned,3,3,3,3,0,0,
case_25536,Not Assigned,3,3,3,3,0,0,
case_25537,Not Assigned,3,3,3,3,0,0,
case_25538,Not Assigned,3,3,3,3,0,0,
case_25539,Not Assigned,3,3,3,3,0,0,
case_25540,Not Assigned,3,3,3,3,0,0,
case_25541,Not Assigned,3,3,3,3,0,0,
case_25542,Not Assigned,3,3,3,3,0,0,
case_25543,Not Assigned,3,3,3,3,0,0,
case_25544,Not Assigned,3,3,3,3,0,0,
case_25545,Not Assigned,3,3,3,3,0,0,
case_25546,Not Assigned,3,3,3,3,0,0,
case_25547,Not Assigned,3,3,3,3,0,0,
case_25548,Not Assigned,3,3,3,3,0,0,
case_25549,Not Assigned,3,3,3,3,0,0,
case_25550,Not Assigned,3,3,3,3,0,0,
case_25551,Not Assigned,4,4,4,4,0,0,
case_25552,Not Assigned,4,4,4,4,0,0,
case_25553,Not Assigned,3,3,3,3,0,0,
case_25554,Not Assigned,3,3,3,3,0,0,
case_25555,Not Assigned,3,3,3,3,0,0,
case_25556,Not Assigned,3,3,3,3,0,0,
case_25557,Not Assigned,3,3,3,3,0,0,
case_25558,Not Assigned,3,3,3,3,0,0,
case_25560,Not Assigned,3,3,3,3,0,0,
case_25561,Not Assigned,3,3,3,3,0,0,
case_25562,Not Assigned,4,4,4,4,0,0,
case_25563,Not Assigned,3,3,3,3,0,0,
case_25564,Not Assigned,3,3,3,3,0,0,
case_25565,Not Assigned,3,3,3,3,0,0,
case_25566,Not Assigned,3,3,3,3,0,0,
case_25567,Not Assigned,3,3,3,3,0,0,
case_25570,Not Assigned,4,4,4,4,2,2,
case_25571,Not Assigned,3,3,3,3,0,0,
case_25572,Not Assigned,3,3,3,3,0,0,
case_25574,Not Assigned,4,4,4,4,2,2,
case_25591,Not Assigned,3,3,3,3,2,2,
case_25592,Not Assigned,3,3,3,3,0,0,
case_25593,Not Assigned,3,3,3,3,0,0,
case_25594,Not Assigned,4,4,4,4,0,0,
case_25595,Not Assigned,3,3,3,3,0,0,
case_25596,Not Assigned,3,3,3,3,0,0,
case_25597,Not Assigned,5,5,5,5,0,0,
case_25598,Not Assigned,3,3,3,3,0,0,
case_25599,Not Assigned,6,6,6,6,0,0,
case_25600,Not Assigned,3,3,3,3,0,0,
case_25601,Not Assigned,3,3,3,3,0,0,
case_25602,Not Assigned,3,3,3,3,0,0,
case_25603,Not Assigned,3,3,3,3,0,0,
case_25604,Not Assigned,3,3,3,3,0,0,
